,PitchRight,RollRight,YawRight,WristPosZRight,ElbowPosYRight,ElbowPosZRight,GrabStrenthRight,GrabAngleRight,PinchStrengthRight,TimeLeft,PitchLeft,RollLeft,YawLeft,WristPosXLeft,WristPosYLeft,ElbowposXLeft,GrabStrenthLeft,GrabAngleLeft,PinchStrengthLeft,label,PositionXDiff,PositionYDiff,PositionZDiff,xyzTotal,velxyzTotal
0,0.04249348,-0.1439298,-0.6679246,91.14056,151.5735,193.8895,0.0,0.09735376,0.0,7.00750000000005,1.38597,1.800528,-1.097919,-80.43669,115.807,-167.9082,0.0,0.6911503,0.7009609,Spontaneous,28.63069,22.600799999999992,33.63236,49.61499984566865,362.27481924947807
1,0.0382954,-0.1694589,-0.6508304,81.15312,137.8073,183.7686,0.0,0.08059803,0.0,7.090600000000052,1.152686,1.549124,-0.6103483,-75.96163,98.14013,-154.6295,0.0,0.2789183,0.05101852,Spontaneous,36.69563000000001,42.87300000000002,51.44504,76.36265795988575,274.9481244128014
2,0.03919087,-0.180251,-0.6416691,74.14748,113.1641,177.0032,0.0,0.1254518,0.0,7.1732000000000085,0.9462429,1.162606,-0.1307227,-79.71098,90.06714,-143.5661,0.0,0.0,0.0,Spontaneous,42.16031000000001,53.3638,59.93852,90.65215424647393,84.28297944651696
3,0.03998531,-0.1755123,-0.6542804,68.59553,117.8445,174.1581,0.0,0.2042118,0.0,7.256000000000029,0.849337,0.9959413,-0.01824497,-80.35197,90.83822,-125.3631,0.0,0.0,0.0,Spontaneous,42.31439,55.49109999999999,56.69552,89.91191115949266,83.50914190455575
4,0.06316111,-0.2011059,-0.6517808,63.39326,109.7912,168.7344,0.0,0.2273555,0.0,7.338800000000049,0.7838327,1.016542,-0.07375576,-78.86427,96.73817,-128.4559,0.0,0.0,0.0,Spontaneous,41.53448999999999,53.75620000000001,44.89066,81.42489946715132,190.3405892599206
5,0.1028165,-0.2031194,-0.6345896,58.74172,104.4073,159.5635,0.0,0.2558016,0.0,7.4221,0.7669113,1.08891,-0.07899523,-86.24659,110.3326,-144.5571,0.0,0.0,0.0,Spontaneous,32.81139999999999,41.9889,31.29455,61.79809505860597,280.61419386041484
6,0.1760721,-0.2807834,-0.6158176,50.83816,85.86961,155.6941,0.0,0.339405,0.0,7.504500000000007,0.9017978,1.341385,-0.2823772,-92.40315,122.3309,-143.9025,0.0,0.256251,0.0,Spontaneous,27.06331,29.106599999999986,10.922513,41.217935440185116,327.93154819213476
7,0.2473574,-0.3399159,-0.5723422,46.13807,65.81104,154.5649,0.0,0.389346,0.0,7.5873000000000275,1.016936,1.647831,-0.5158051,-94.73753,131.1329,-151.1705,0.0,0.6985118,0.0,Spontaneous,35.0411,14.353099999999984,-4.697738,38.15702964247405,249.55418372665807
8,0.2308064,-0.3259815,-0.5504996,46.36588,53.4809,175.1388,0.0,0.1598148,0.0,7.6702000000000226,0.8190232,1.911211,-0.42248,-95.04573,132.6513,-162.9821,0.01096886,1.140309,0.4062726,Spontaneous,44.8027,-6.45010000000002,-3.3938789,45.39167469137778,313.24027333273494
9,0.2064939,-0.2714297,-0.5624098,43.01316,53.45062,207.286,0.0,0.04381904,0.0,7.753000000000043,0.5302607,2.16645,-0.1106834,-92.96033,126.1594,-178.7968,0.0,0.9594395,0.0,Spontaneous,59.122110000000006,-12.823900000000009,7.1724689999999995,60.92060910412881,446.6453544252228
